strategy,window_start,window_end,profitable,number_of_trades,total_deployed,gross_profit,net_profit,return_on_deployed_capital,average_net_profit_per_trade,median_net_profit_per_trade,win_rate,best_trade,worst_trade,profit_factor,max_drawdown
buy_after_first_green_after_red,2020-07-01,2021-06-30,True,65,6500.0,1.5531019886304005,0.25310198863039934,3.89387674815999e-05,0.00389387674815999,0.12309563558312366,0.5230769230769231,1.7203147699757815,-2.214475974271659,1.0110080881076098,-3.7360777080584273
buy_after_first_green_after_red,2020-08-01,2021-07-31,True,64,6400.0,3.1865289678147946,1.9065289678147934,0.00029789515122106145,0.029789515122106147,0.13565075099081006,0.546875,1.7203147699757815,-2.214475974271659,1.0892744393855638,-3.7360777080584273
buy_after_first_green_after_red,2020-09-01,2021-08-31,True,65,6500.0,3.6541960430641076,2.3541960430641065,0.00036218400662524716,0.03621840066252471,0.14387845681120617,0.5538461538461539,1.7203147699757815,-2.214475974271659,1.1085084156439946,-3.7360777080584273
buy_after_first_green_after_red,2020-10-01,2021-09-30,True,65,6500.0,2.611653027007366,1.311653027007365,0.00020179277338574846,0.020179277338574844,0.12309563558312366,0.5230769230769231,1.7203147699757815,-1.7440236058616798,1.064489051586643,-3.7360777080584273
buy_after_first_green_after_red,2020-11-01,2021-10-31,True,64,6400.0,3.6397473793246755,2.359747379324676,0.00036871052801948064,0.036871052801948065,0.13565075099081006,0.546875,1.7203147699757815,-1.7440236058616798,1.1164188717406662,-3.7360777080584273
buy_after_first_green_after_red,2020-12-01,2021-11-30,False,63,6300.0,-0.13308691026663322,-1.393086910266634,-0.0002211249063915292,-0.02211249063915292,0.12742304517041395,0.5396825396825397,1.6850347321889925,-1.9739427773900942,0.9325521140147427,-3.7217420912253885
buy_after_first_green_after_red,2021-01-01,2021-12-31,False,64,6400.0,0.1896837019384927,-1.0903162980615084,-0.0001703619215721107,-0.01703619215721107,0.1252593403767688,0.515625,1.9552952059639783,-1.9739427773900942,0.952159223667009,-3.7217420912253885
buy_after_first_green_after_red,2021-02-01,2022-01-31,True,63,6300.0,1.4978077200352828,0.23780772003528083,3.7747257148457275e-05,0.0037747257148457274,0.12309563558312366,0.5079365079365079,1.9552952059639783,-1.9739427773900942,1.0111286775816903,-4.392133856165903
buy_after_first_green_after_red,2021-03-01,2022-02-28,True,63,6300.0,3.2099342275947573,1.9499342275947562,0.0003095133694594851,0.03095133694594851,0.12309563558312366,0.5079365079365079,2.63424503427667,-1.9739427773900942,1.0912509876516405,-4.392133856165903
buy_after_first_green_after_red,2021-04-01,2022-03-31,True,62,6200.0,6.081206110244575,4.841206110244574,0.0007808396952007378,0.07808396952007378,0.1252593403767688,0.5161290322580645,2.63424503427667,-1.9739427773900942,1.2500967646801908,-4.392133856165903
buy_after_first_green_after_red,2021-05-01,2022-04-30,True,62,6200.0,1.955086702553988,0.7150867025539864,0.00011533656492806233,0.011533656492806233,-0.03947947927608551,0.4838709677419355,2.63424503427667,-2.8961061946902644,1.030356863864554,-6.118701018364419
buy_after_first_green_after_red,2021-06-01,2022-05-31,False,62,6200.0,-3.189789919502706,-4.429789919502706,-0.0007144822450810816,-0.07144822450810817,-0.10616682386548557,0.46774193548387094,2.63424503427667,-4.138545676749163,0.8473818026197016,-10.408569879079039
buy_after_first_green_after_red,2021-07-01,2022-06-30,False,61,6100.0,-3.2434216275529453,-4.463421627552947,-0.00073170846353327,-0.07317084635332699,-0.1129306339196856,0.45901639344262296,3.440801796446744,-4.138545676749163,0.8633531744249655,-12.62216950711343
buy_after_first_green_after_red,2021-08-01,2022-07-31,False,61,6100.0,-3.7267532586573555,-4.946753258657356,-0.0008109431571569437,-0.08109431571569437,-0.1129306339196856,0.45901639344262296,3.440801796446744,-4.138545676749163,0.8522776091880698,-12.62216950711343
buy_after_first_green_after_red,2021-09-01,2022-08-31,False,62,6200.0,-5.68032490887933,-6.92032490887933,-0.0011161814369160209,-0.1116181436916021,-0.127834653637362,0.43548387096774194,3.440801796446744,-4.138545676749163,0.806156571040482,-12.62216950711343
buy_after_first_green_after_red,2021-10-01,2022-09-30,False,62,6200.0,-9.445227691531354,-10.685227691531356,-0.0017234238212147349,-0.1723423821214735,-0.19049315228488403,0.43548387096774194,3.440801796446744,-4.138545676749163,0.7260959590740136,-15.552308635839607
buy_after_first_green_after_red,2021-11-01,2022-10-31,False,63,6300.0,-9.080720012491437,-10.340720012491438,-0.001641384128966895,-0.16413841289668948,-0.23824763121472967,0.42857142857142855,3.440801796446744,-4.138545676749163,0.7458037264035482,-15.552308635839607
buy_after_first_green_after_red,2021-12-01,2022-11-30,False,62,6200.0,-5.45445047837958,-6.694450478379581,-0.001079750077157997,-0.1079750077157997,-0.19161132063079345,0.45161290322580644,3.440801796446744,-4.138545676749163,0.828656504856312,-15.552308635839605
buy_after_first_green_after_red,2022-01-01,2022-12-31,False,62,6200.0,-4.9926595452628115,-6.232659545262813,-0.0010052676685907763,-0.10052676685907762,-0.1795217159520268,0.45161290322580644,3.440801796446744,-4.138545676749163,0.8349600741737669,-15.552308635839605
buy_after_first_green_after_red,2022-02-01,2023-01-31,False,62,6200.0,-3.4517351897873176,-4.691735189787318,-0.000756731482223761,-0.0756731482223761,-0.12707524422792768,0.46774193548387094,3.440801796446744,-4.138545676749163,0.8734568422873844,-15.552308635839605
buy_after_first_green_after_red,2022-03-01,2023-02-28,False,65,6500.0,-9.18212400138356,-10.482124001383564,-0.0016126344617513175,-0.16126344617513175,-0.2702920073419013,0.4307692307692308,3.440801796446744,-4.138545676749163,0.7433824801784703,-15.552308635839605
buy_after_first_green_after_red,2022-04-01,2023-03-31,False,67,6700.0,-8.895472627684796,-10.2354726276848,-0.001527682481744,-0.1527682481744,-0.15123733161398697,0.44776119402985076,3.440801796446744,-4.138545676749163,0.7534720364546572,-13.462539616420647
buy_after_first_green_after_red,2022-05-01,2023-04-30,False,66,6600.0,-4.378470025087145,-5.698470025087145,-0.0008634045492556281,-0.0863404549255628,-0.09968590164213474,0.4696969696969697,3.440801796446744,-4.138545676749163,0.8424345899475556,-11.639909884498902
buy_after_first_green_after_red,2022-06-01,2023-05-31,False,66,6600.0,-0.24912884867827056,-1.5691288486782722,-0.00023774679525428367,-0.023774679525428367,-0.06509495385642826,0.48484848484848486,3.440801796446744,-3.340814390195692,0.9505219424549445,-6.494600321803445
buy_after_first_green_after_red,2022-07-01,2023-06-30,False,66,6600.0,0.8274303703170731,-0.4925696296829285,-7.463176207317099e-05,-0.007463176207317099,-0.010795111164021416,0.5,2.867866901122682,-2.2684885537667254,0.9823046583594012,-6.494600321803445
buy_after_first_green_after_red,2022-08-01,2023-07-31,True,65,6500.0,2.891342656319873,1.5913426563198718,0.00024482194712613413,0.02448219471261341,0.028189868080239506,0.5230769230769231,2.867866901122682,-2.2684885537667254,1.0618253662557324,-6.4922434559136
buy_after_first_green_after_red,2022-09-01,2023-08-31,True,64,6400.0,1.332943074090276,0.05294307409027432,8.272355326605363e-06,0.0008272355326605363,0.03699019887676071,0.515625,2.867866901122682,-2.2684885537667254,1.0019809058668692,-4.718380279432573
buy_after_first_green_after_red,2022-10-01,2023-09-30,True,65,6500.0,5.176013784490795,3.8760137844907945,0.0005963098129985838,0.059630981299858374,0.05182188173329162,0.5230769230769231,2.867866901122682,-2.2684885537667254,1.1641811792909704,-4.038850156161715
buy_after_first_green_after_red,2022-11-01,2023-10-31,True,65,6500.0,3.9316933383243162,2.631693338324315,0.0004048758982037408,0.04048758982037408,0.022158516020229797,0.5076923076923077,1.7200000000000082,-1.9464448336252183,1.1187045934165418,-4.0996982847879675
buy_after_first_green_after_red,2022-12-01,2023-11-30,True,65,6500.0,1.7439422519339494,0.4439422519339482,6.829880798983818e-05,0.006829880798983818,-0.03129752019431996,0.49230769230769234,1.6558724579462702,-1.9464448336252183,1.0205700558936968,-4.0996982847879675
